alpha,feature,coefficient
0.004581597669054491,s1,-10.644308191283553
0.004581597669054491,s2,-3.2155447766895766
0.004581597669054491,s3,1.3024966607035333
0.004581597669054491,s4,3.5588174123449554
0.004581597669054491,s5,37.029425031520226
0.004581597669054491,s6,2.1937484431126046
0.004581597669054491,bmi_x_bp,6.762146890870991
0.004581597669054491,bmi_x_s5,1.3708699051265698
0.004581597669054491,s1_minus_s2,-15.963029689306119
0.004581597669054491,s3_x_s4,-4.3252278457971
0.006020894493336131,age,2.5845281918600103
0.006020894493336131,sex,-11.947101795275804
0.006020894493336131,bmi,24.46432849915288
0.006020894493336131,bp,15.654944827061543
0.006020894493336131,s1,-10.643156217813317
0.006020894493336131,s2,-3.2153487741664537
0.006020894493336131,s3,1.299861113364587
0.006020894493336131,s4,3.5578500445732164
0.006020894493336131,s5,37.02717192677942
0.006020894493336131,s6,2.19385931530168
0.006020894493336131,bmi_x_bp,6.762176924447721
0.006020894493336131,bmi_x_s5,1.3706921442615567
0.006020894493336131,s1_minus_s2,-15.960976998338083
0.006020894493336131,s3_x_s4,-4.325396133833488
0.007912342618981327,age,2.5845461941307253
0.007912342618981327,sex,-11.947024270560705
0.007912342618981327,bmi,24.464390247660937
0.007912342618981327,bp,15.654862242193872
0.007912342618981327,s1,-10.641643010428647
0.007912342618981327,s2,-3.2150914513309754
0.007912342618981327,s3,1.2963992764668455
0.007912342618981327,s4,3.5565799208356386
0.007912342618981327,s5,37.02421185241924
0.007912342618981327,s6,2.194004999985458
0.007912342618981327,bmi_x_bp,6.762216367190976
0.007912342618981327,bmi_x_s5,1.3704586195338457
0.007912342618981327,s1_minus_s2,-15.958280324157032
0.007912342618981327,s3_x_s4,-4.325616991462694
0.0103979841848149,age,2.584569854636359
0.0103979841848149,sex,-11.94692239755398
0.0103979841848149,bmi,24.464471317242225
0.0103979841848149,bp,15.654753739959213
0.0103979841848149,s1,-10.639655563897293
0.0103979841848149,s2,-3.2147537284403613
0.0103979841848149,s3,1.2918527781474791
0.0103979841848149,s4,3.5549127579371316
0.0103979841848149,s5,37.02032332357119
0.0103979841848149,s6,2.1941964205512723
0.0103979841848149,bmi_x_bp,6.762268156244946
0.0103979841848149,bmi_x_s5,1.3701518703926918
0.0103979841848149,s1_minus_s2,-15.954737988448047
0.0103979841848149,s3_x_s4,-4.325906717444182
0.013664483492953258,age,2.5846009529593026
0.013664483492953258,sex,-11.946788531564968
0.013664483492953258,bmi,24.464577721643916
0.013664483492953258,bp,15.654611197657621
0.013664483492953258,s1,-10.637045717242083
0.013664483492953258,s2,-3.2143106648714634
0.013664483492953258,s3,1.285882952463277
0.013664483492953258,s4,3.5527252523744015
0.013664483492953258,s5,37.01521571714883
0.013664483492953258,s6,2.1944479225984814
0.013664483492953258,bmi_x_bp,6.7623361378875115
0.013664483492953258,bmi_x_s5,1.3697489928037194
0.013664483492953258,s1_minus_s2,-15.950085410857136
0.013664483492953258,s3_x_s4,-4.3262865745311165
0.01795714494371641,age,2.584641829203631
0.01795714494371641,sex,-11.946612629411687
0.01795714494371641,bmi,24.464717323295353
0.01795714494371641,bp,15.654423954729998
0.01795714494371641,s1,-10.633619358710037
0.01795714494371641,s2,-3.2137297137683243
0.01795714494371641,s3,1.278046245743599
0.01795714494371641,s4,3.5498563955582103
0.01795714494371641,s5,37.0085078711352
0.01795714494371641,s6,2.1947783422418623
0.01795714494371641,bmi_x_bp,6.762425343332257
0.01795714494371641,bmi_x_s5,1.3692199593661647
0.01795714494371641,s1_minus_s2,-15.943975677302685
0.01795714494371641,s3_x_s4,-4.326784236203458
0.02359833466782194,age,2.5846955611140636
0.02359833466782194,sex,-11.946381498134452
0.02359833466782194,bmi,24.46490038477296
0.02359833466782194,bp,15.654178025485178
0.02359833466782194,s1,-10.62912241776411
0.02359833466782194,s2,-3.2129684979961035
0.02359833466782194,s3,1.2677623503063038
0.02359833466782194,s4,3.5460963706258584
0.02359833466782194,s5,36.999700190839285
0.02359833466782194,s6,2.1952124051133795
0.02359833466782194,bmi_x_bp,6.762542344123828
0.02359833466782194,bmi_x_s5,1.368525433453599
0.02359833466782194,s1_minus_s2,-15.935954241220129
0.02359833466782194,s3_x_s4,-4.327435607068152
0.031011689265747787,age,2.5847661975409038
0.031011689265747787,sex,-11.94607780924247
0.031011689265747787,bmi,24.46514027241824
0.031011689265747787,bp,15.653855071653643
0.031011689265747787,s1,-10.623222764959856
